bl,,fitcbsa alone,,fbsaalone2,,fbsaalone3,,ph5 1,,ph5 2,,pH 5 3,,pH 6 1,,pH 6 2,,pH 6 3,,pH 7 1,,pH 7 2,,pH 7 3,,pH 8 1,,pH 8 2,,pH 8 3,,pH 9 1,,pH 9 2,,pH 9 3,,pH 10 1,,pH 10 2,,pH 10 3,,pH 11 1,,pH 11 2,,pH 11 3,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
528.9500122,-2.309377193,528.9500122,112.2632675,528.9500122,111.5599976,528.9500122,112.3650665,528.9500122,0.6518113613,528.9500122,0.6365385056,528.9500122,2.126565695,528.9500122,5.001742363,528.9500122,11.11144638,528.9500122,9.966079712,528.9500122,19.80228806,528.9500122,9.858764648,528.9500122,11.31411266,528.9500122,13.08031368,528.9500122,17.15867043,528.9500122,22.86674118,528.9500122,49.52199173,528.9500122,25.65319443,528.9500122,82.95317078,528.9500122,330.5205994,528.9500122,448.1386414,528.9500122,411.4935608,528.9500122,534.7419434,528.9500122,552.5269165,528.9500122,516.0820313,
530,-2.301346779,530,110.3404312,530,107.2663803,530,107.0413437,530,0.781555891,530,0.5795896053,530,1.925532103,530,4.777972221,530,10.32565403,530,9.972848892,530,19.31893158,530,9.780683517,530,11.07320595,530,12.39672852,530,16.64176941,530,21.86212349,530,48.71091461,530,24.7514019,530,80.50027466,530,316.8757935,530,429.3000488,530,394.2712708,530,517.5422974,530,531.0667114,530,496.8558044,
531.039978,-2.357539177,531.039978,106.1590195,531.039978,104.7415543,531.039978,103.5084305,531.039978,0.5395030975,531.039978,0.4940133095,531.039978,1.562955141,531.039978,4.368260384,531.039978,10.42647457,531.039978,9.27458477,531.039978,18.91579628,531.039978,9.399823189,531.039978,10.3166399,531.039978,11.96708965,531.039978,15.59700108,531.039978,20.90042496,531.039978,47.06504822,531.039978,24.35345078,531.039978,77.38918304,531.039978,304.7925415,531.039978,421.175415,531.039978,384.0810852,531.039978,490.3515015,531.039978,514.6184082,531.039978,475.5273132,
531.9400024,-2.329154968,531.9400024,101.8804245,531.9400024,98.25770569,531.9400024,99.32803345,531.9400024,0.4609050751,531.9400024,0.4578912258,531.9400024,1.833670378,531.9400024,4.331376076,531.9400024,10.02303123,531.9400024,9.183979034,531.9400024,18.45059395,531.9400024,9.211884499,531.9400024,10.33398533,531.9400024,11.77657223,531.9400024,15.19056797,531.9400024,19.93805504,531.9400024,44.9793129,531.9400024,23.52985573,531.9400024,74.7973175,531.9400024,295.5552673,531.9400024,410.0243835,531.9400024,377.5860596,531.9400024,478.3948364,531.9400024,503.8075867,531.9400024,458.0613708,
532.9799805,-2.35773325,532.9799805,96.71476746,532.9799805,96.66096497,532.9799805,94.18531799,532.9799805,0.3265891075,532.9799805,0.3399596214,532.9799805,1.407735586,532.9799805,4.256464005,532.9799805,9.308568001,532.9799805,8.434314728,532.9799805,17.59704971,532.9799805,8.861671448,532.9799805,9.688103676,532.9799805,10.77385139,532.9799805,14.79371738,532.9799805,19.77125168,532.9799805,43.11364365,532.9799805,22.2814045,532.9799805,72.04933929,532.9799805,282.6112061,532.9799805,391.634613,532.9799805,362.5386353,532.9799805,469.5954285,532.9799805,487.3836975,532.9799805,440.9560242,
534.0200195,-2.404735804,534.0200195,93.5502243,534.0200195,93.21025848,534.0200195,90.44152069,534.0200195,0.3535900116,534.0200195,0.4525556564,534.0200195,1.303024054,534.0200195,3.758695841,534.0200195,9.226670265,534.0200195,8.474503517,534.0200195,16.88664436,534.0200195,8.157077789,534.0200195,9.099226952,534.0200195,11.06974983,534.0200195,13.75477695,534.0200195,18.87586784,534.0200195,41.81480789,534.0200195,21.88718796,534.0200195,70.08133698,534.0200195,276.6989136,534.0200195,376.546051,534.0200195,347.4224854,534.0200195,454.5082092,534.0200195,465.8815002,534.0200195,425.351593,
535.0700073,-2.338377476,535.0700073,90.25600433,535.0700073,89.80776978,535.0700073,89.91568756,535.0700073,0.3193027973,535.0700073,0.2906992435,535.0700073,1.289926291,535.0700073,3.76544404,535.0700073,9.08594799,535.0700073,8.311472893,535.0700073,15.90514469,535.0700073,8.061847687,535.0700073,8.927783966,535.0700073,10.37172127,535.0700073,13.75760746,535.0700073,17.85584831,535.0700073,40.18194199,535.0700073,20.991436,535.0700073,67.7904892,535.0700073,262.3745728,535.0700073,364.6062927,535.0700073,333.516571,535.0700073,436.5496826,535.0700073,447.2498779,535.0700073,409.3850098,
535.9699707,-2.404470205,535.9699707,87.43089294,535.9699707,87.94460297,535.9699707,86.14585114,535.9699707,0.3307008743,535.9699707,0.17730546,535.9699707,1.377718687,535.9699707,3.59479928,535.9699707,8.572684288,535.9699707,8.046904564,535.9699707,15.63011265,535.9699707,7.732069016,535.9699707,8.312671661,535.9699707,9.987928391,535.9699707,13.27426624,535.9699707,17.72854424,535.9699707,38.8985405,535.9699707,19.97268677,535.9699707,63.68140793,535.9699707,253.1042938,535.9699707,350.9723511,535.9699707,324.3262024,535.9699707,415.5370789,535.9699707,430.5332031,535.9699707,397.2149048,
537.0100098,-2.320153952,537.0100098,83.44927216,537.0100098,83.50908661,537.0100098,81.86547852,537.0100098,0.3135559559,537.0100098,0.1992743015,537.0100098,1.137660027,537.0100098,3.470831633,537.0100098,8.139091492,537.0100098,7.470882416,537.0100098,15.05188274,537.0100098,7.286036491,537.0100098,8.051952362,537.0100098,9.611066818,537.0100098,12.21809101,537.0100098,17.03980446,537.0100098,37.15111542,537.0100098,19.18561172,537.0100098,59.83095932,537.0100098,241.2948151,537.0100098,339.6794739,537.0100098,311.0926514,537.0100098,402.7244568,537.0100098,408.1622925,537.0100098,373.9808655,
538.0499878,-2.310330868,538.0499878,81.08586121,538.0499878,80.05703735,538.0499878,79.12702179,538.0499878,0.1675233841,538.0499878,0.2280414104,538.0499878,1.098392963,538.0499878,3.311858416,538.0499878,7.979619026,538.0499878,7.180198669,538.0499878,14.23290157,538.0499878,7.006999016,538.0499878,8.183467865,538.0499878,8.888982773,538.0499878,11.91283798,538.0499878,15.95934582,538.0499878,36.48174667,538.0499878,18.4771843,538.0499878,60.19002914,538.0499878,229.3594055,538.0499878,320.0885315,538.0499878,288.8203735,538.0499878,376.8226929,538.0499878,393.6936646,538.0499878,361.7507935,
